Date,Year,Month,Day,Title,Tasks,Requesting NGO (project),Region mapped,City,Place,Whom is confirmed to go,Mapathon Partner,Nb PREVU de participants,Nb REEL de participants,"Stats contribution
Batiments","Stats contribution
nombre de Routes","Stats contribution
Route (km)"
08/03/2018,2018,3,8,Mapathon Social Good Week Paris,3679,PHF,Madagascar,Paris,LLL,Martin,,50,30,564 bâtiments,192 km de route,
07/03/2018,2018,3,7,Mapathon Social Good Week Lyon,3679,,Madagascar,Lyon,Ecole Centrale,"Colin, Camille ",,,20,1526 bâtiments,312.9 km de route,
28/02/2018,2018,2,28,Mapathon MAMAPA - Mannheim,4121,,Ouganda ,Manheim,Mannheimer Abendakademie,Robert ,HOT,,17,74 bâtiments,108.2 km de route,
28/02/2018,2018,2,28,Mapathon @ Les Petits Débrouillards,3679,,Madagascar,Clermont-Ferrand,Les Petits Débrouillards,Colin,,8,15,1000 bpatiments,200 km de route,
14/02/2018,2018,2,14,Mapathon université de Saint Etienne ,3679,,Madagascar,Saint Etienne ,Université Jean Monet ,Colin,,20,20,1500 bâtiments,400 km de route,
07/02/2018,2018,2,7,Mapathon à Paris 8,3679,,Madagascar,Paris,Université,"Colin, Claire",,30 (Neige du coup pas de déplacement),15,9 bâtiments,123.7 km de route,
30/01/2018,2018,1,30,Mapathon Atelier des médias ,4101,,Bangladesh,Lyon,Atelier des méias ,"Violaine, Colin",,25,25,6400 bâtiments,,
26/01/2018,2018,1,26,Mapathon lycée Louise michel ,,,Bangladesh,Grenoble,Louise Michel Lycée pro,Colin,,22,22,300 bâtiments,le mapathon était plus une présentation de CartONG et le fonctionnement de missing maps et d'une action humanitaire (questions des éléves),
25/01/2018,2018,1,25,Mapathon @ ESS'pace,4030,,Bangladesh,Paris,ESS'pace,Bénévoles,,37,24,2800 bâtiments,,
23/01/2018,2018,5,23,Mapathon MAMAPA - Mannheim,4577,HCR,Burkina Faso,Manheim,Mannheimer Abendakademie,Robert ,HCR,,16,281 bâtiments,2.7 km² de routes,
17/01/2018,2018,1,17,Mapathon département savoie,,,Haiti,Chambéry,Département de Savoie ,Colin Violaine,,,,,,
16/01/2018,2018,1,16,Mapathon à l'université de Genève ,4030,,Bangladesh,Genève,Université ,Colin,,32,32,2792 bâtiments,,
18/12/2017,2017,12,18,Mapathon Entreprise CGI Paris/Lyon,3941,,Tchad,"Paris, LYON",CGI,"Martin, Colin",,,20,1500 bâtiments ,,
